field,appears_in,type,unit,requiredness,nullable,definition,example,schema_version
affected_system_ids,Supplementary_Data_S9_api_access_audit.csv,number,unitless or field-specific,conditional,True,Affected system ids as serialized in the named v12 table.,,v12.1
archive_member_path,Supplementary_Data_S4_reduced_release_manifest.csv,string,unitless or field-specific,conditional,True,Archive member path as serialized in the named v12 table.,G12_7SF7/structure.pdb,v12.1
atom_order_backbone_geometry,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Atom order backbone geometry as serialized in the named v12 table.,passed,v12.1
audit_kind,Supplementary_Data_S9_api_access_audit.csv,string,unitless or field-specific,required,False,Audit kind as serialized in the named v12 table.,per_system_record_coverage,v12.1
availability_semantics,Supplementary_Data_S9_api_access_audit.csv,string,unitless or field-specific,required,False,Availability semantics as serialized in the named v12 table.,Available means a non-empty current portal structure file is present.,v12.1
baseline_replica_statuses,Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,conditional,True,Baseline replica statuses as serialized in the named v12 table.,rep1=HOLD | rep2=HOLD | rep3=HOLD,v12.1
catastrophic_chain_break_absent,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Catastrophic chain break absent as serialized in the named v12 table.,True,v12.1
ci_hi,Supplementary_Data_S6_gateway_per_system.csv,number,unitless or field-specific,required,False,Stored upper interval bound.,6.12,v12.1
ci_lo,Supplementary_Data_S6_gateway_per_system.csv,number,unitless or field-specific,required,False,Stored lower interval bound.,5.725,v12.1
complex_separation_absent,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Complex separation absent as serialized in the named v12 table.,True,v12.1
component_scope,Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,required,False,Molecular components included in the distributed record.,"reduced protein complex; membrane, solvent and ions excluded",v12.1
coordinate_scatter_absent,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Coordinate scatter absent as serialized in the named v12 table.,True,v12.1
engine_version_scope,Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,required,False,Engine version scope as serialized in the named v12 table.,single_version_in_available_records,v12.1
engine_versions_from_available_outputs,Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,conditional,True,Engine versions from available outputs as serialized in the named v12 table.,24,v12.1
evidence_group,Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,conditional,True,Evidence group as serialized in the named v12 table.,strict_baseline,v12.1
evidence_source,Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,required,False,Evidence source as serialized in the named v12 table.,trajectory_readiness/strict_full_length_system_audit.csv,v12.1
exists,Supplementary_Data_S10_code_environment_inventory.csv,boolean,unitless or field-specific,required,False,Exists as serialized in the named v12 table.,True,v12.1
expected_systems,Supplementary_Data_S9_api_access_audit.csv,integer,unitless or field-specific,required,False,Expected systems as serialized in the named v12 table.,207,v12.1
file_role,Supplementary_Data_S4_reduced_release_manifest.csv,string,unitless or field-specific,required,False,File role as serialized in the named v12 table.,structure_pdb,v12.1
files_present,Supplementary_Data_S9_api_access_audit.csv,integer,unitless or field-specific,required,False,Files present as serialized in the named v12 table.,207,v12.1
finite_coordinates,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Finite coordinates as serialized in the named v12 table.,True,v12.1
finite_monotonic_time,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Finite monotonic time as serialized in the named v12 table.,True,v12.1
force_field,Supplementary_Data_S1_included_system_inventory.csv,string,unitless or field-specific,required,False,Force field as serialized in the named v12 table.,CHARMM36 (via AMBER CHARMM-GUI),v12.1
frame_count,Supplementary_Data_S8_reduced_release_qc.csv,number,unitless or field-specific,conditional,True,Number of coordinate frames represented by the record.,2500.0,v12.1
frame_interval_ps,Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S8_reduced_release_qc.csv,number,ps,conditional,True,Time spacing between retained reduced-trajectory frames in picoseconds.,200.0,v12.1
full_frames_checked,Supplementary_Data_S8_reduced_release_qc.csv,number,unitless or field-specific,conditional,True,Full frames checked as serialized in the named v12 table.,2500.0,v12.1
full_system_source_distributed,Supplementary_Data_S7_source_simulation_replica_provenance.csv,boolean,unitless or field-specific,required,False,"Whether membrane, solvent, ions and full-system source coordinates are deposited.",False,v12.1
g_alpha_subtype,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,conditional,True,G alpha subtype as serialized in the named v12 table.,guanine nucleotide-binding protein g(i)/g(s)/g(t) ,v12.1
g_protein_family,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv|Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S5_pocket_summaries_gpcrdb.csv|Supplementary_Data_S6_gateway_per_system.csv|Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,G protein family as serialized in the named v12 table.,G12-13,v12.1
gpcr_class,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,conditional,True,Gpcr class as serialized in the named v12 table.,B,v12.1
has_bilayer,Supplementary_Data_S1_included_system_inventory.csv,boolean,unitless or field-specific,required,False,Has bilayer as serialized in the named v12 table.,True,v12.1
hold_reason,Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,required,False,Hold reason as serialized in the named v12 table.,HOLD_PBC,v12.1
interface,Supplementary_Data_S6_gateway_per_system.csv,string,unitless or field-specific,required,False,Interface as serialized in the named v12 table.,TM1-TM2,v12.1
is_orthosteric,Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,string,unitless or field-specific,conditional,True,Is orthosteric as serialized in the named v12 table.,False,v12.1
item_kind,Supplementary_Data_S10_code_environment_inventory.csv,string,unitless or field-specific,required,False,Item kind as serialized in the named v12 table.,repository_file,v12.1
length_per_replica_ns,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv,number,ns,conditional,True,Length per replica ns as serialized in the named v12 table.,500.0,v12.1
ligand_chem_id,Supplementary_Data_S1_included_system_inventory.csv,string,unitless or field-specific,conditional,True,Ligand chem id as serialized in the named v12 table.,S1P,v12.1
ligand_class,Supplementary_Data_S1_included_system_inventory.csv,number,unitless or field-specific,conditional,True,Ligand class as serialized in the named v12 table.,,v12.1
ligand_name,Supplementary_Data_S1_included_system_inventory.csv,string,unitless or field-specific,conditional,True,Ligand name as serialized in the named v12 table.,"(2S,3R,4E)-2-amino-3-hydroxyoctadec-4-en-1-yl dihydrogen phosphate",v12.1
lipid_composition,Supplementary_Data_S1_included_system_inventory.csv,string,unitless or field-specific,required,False,Lipid composition as serialized in the named v12 table.,POPC,v12.1
local_full_frame_qc_status,Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,required,False,Local full frame qc status as serialized in the named v12 table.,passed,v12.1
local_manifest_status,Supplementary_Data_S4_reduced_release_manifest.csv,string,unitless or field-specific,required,False,Local manifest status as serialized in the named v12 table.,present,v12.1
location,Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,string,unitless or field-specific,conditional,True,Location as serialized in the named v12 table.,g_protein,v12.1
mean,Supplementary_Data_S6_gateway_per_system.csv,number,unitless or field-specific,required,False,Mean of the three per-replica gateway summaries.,5.968,v12.1
mean_freq,Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,number,unitless or field-specific,conditional,True,Mean freq as serialized in the named v12 table.,0.929,v12.1
metric,Supplementary_Data_S6_gateway_per_system.csv,string,unitless or field-specific,required,False,Metric as serialized in the named v12 table.,occupancy,v12.1
n_atoms,Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S8_reduced_release_qc.csv,number,unitless or field-specific,conditional,True,Atom count in the matched reduced PDB/XTC pair.,14148.0,v12.1
n_frames,Supplementary_Data_S4_reduced_release_manifest.csv,number,unitless or field-specific,conditional,True,Number of coordinate frames represented by the record.,1.0,v12.1
n_replicas,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv|Supplementary_Data_S6_gateway_per_system.csv,number,unitless or field-specific,conditional,True,N replicas as serialized in the named v12 table.,3.0,v12.1
n_voxels,Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,number,unitless or field-specific,conditional,True,N voxels as serialized in the named v12 table.,633.0,v12.1
name,Supplementary_Data_S10_code_environment_inventory.csv,string,unitless or field-specific,required,False,Name as serialized in the named v12 table.,build_v12_data.py,v12.1
nominal_duration_ns,Supplementary_Data_S7_source_simulation_replica_provenance.csv,number,ns,required,False,Duration specified by the production protocol.,500.0,v12.1
nominal_system_total_ns,Supplementary_Data_S7_source_simulation_replica_provenance.csv,number,ns,required,False,Nominal system total ns as serialized in the named v12 table.,1500.0,v12.1
notes,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,conditional,True,Notes as serialized in the named v12 table.,nan; API receptor_name='Sphingosine 1-phosphate receptor 2' differs from existing,v12.1
original_file_observed_duration_ns,Supplementary_Data_S7_source_simulation_replica_provenance.csv,number,ns,required,False,Coordinate duration observed before the Gq_8ZPT replica-2 repair.,500.0,v12.1
original_file_observed_system_total_ns,Supplementary_Data_S7_source_simulation_replica_provenance.csv,number,ns,required,False,Original file observed system total ns as serialized in the named v12 table.,1500.0,v12.1
pdb_id,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv|Supplementary_Data_S4_reduced_release_manifest.csv,string,unitless or field-specific,required,False,Pdb id as serialized in the named v12 table.,7SF7,v12.1
pdb_xtc_atom_counts_match,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Pdb xtc atom counts match as serialized in the named v12 table.,True,v12.1
pocket_id,Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,number,unitless or field-specific,conditional,True,Pocket id as serialized in the named v12 table.,0.0,v12.1
pocket_record_reason,Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,string,unitless or field-specific,conditional,True,Pocket record reason as serialized in the named v12 table.,valid API pocket record with n_pockets=0 and an empty pockets array,v12.1
pocket_record_status,Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,string,unitless or field-specific,required,False,Whether pocket analysis yielded detected pockets or a valid zero-pocket result.,available_detected_pocket,v12.1
production_engine,Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,required,False,Production engine as serialized in the named v12 table.,AMBER PMEMD,v12.1
production_records_recovered_n,Supplementary_Data_S7_source_simulation_replica_provenance.csv,integer,unitless or field-specific,required,False,Production records recovered n as serialized in the named v12 table.,3,v12.1
protocol_evidence_gap,Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,conditional,True,Protocol evidence gap as serialized in the named v12 table.,production_evidence_not_three_records,v12.1
protocol_evidence_status,Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,required,False,Protocol evidence status as serialized in the named v12 table.,verified,v12.1
protocol_group,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,required,False,Protocol group as serialized in the named v12 table.,P2,v12.1
provenance_scope,Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,required,False,Provenance scope as serialized in the named v12 table.,source-simulation provenance; not a deposited full-system molecular-file record,v12.1
publicly_resolvable,Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S8_reduced_release_qc.csv,boolean,unitless or field-specific,required,False,Whether an unauthenticated DOI request resolved successfully at audit time.,False,v12.1
readiness_action,Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,conditional,True,Readiness action as serialized in the named v12 table.,BASELINE_RETAINED,v12.1
receptor_gene,Supplementary_Data_S1_included_system_inventory.csv,string,unitless or field-specific,conditional,True,Receptor gene as serialized in the named v12 table.,ADGRL3,v12.1
receptor_generic_numbers,Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,string,unitless or field-specific,conditional,True,Receptor generic numbers as serialized in the named v12 table.,1.61x61;2.46x46;2.47x47;2.50x50;3.50x50;3.53x53;3.54x54;3.56x56;3.57x57;4.41x42;4.42x43;4.45x46;6.45x45;7.57x57;8.47x47,v12.1
receptor_name,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv|Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,string,unitless or field-specific,conditional,True,Receptor name as serialized in the named v12 table.,Adhesion G protein-coupled receptor L3,v12.1
receptor_uniprot,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,conditional,True,Receptor uniprot as serialized in the named v12 table.,Q9HAR2,v12.1
record_type,Supplementary_Data_S9_api_access_audit.csv,string,unitless or field-specific,required,False,Record type as serialized in the named v12 table.,viz_structure,v12.1
records_available,Supplementary_Data_S9_api_access_audit.csv,integer,unitless or field-specific,required,False,Records available as serialized in the named v12 table.,207,v12.1
records_missing,Supplementary_Data_S9_api_access_audit.csv,integer,unitless or field-specific,required,False,Records missing as serialized in the named v12 table.,0,v12.1
records_not_applicable,Supplementary_Data_S9_api_access_audit.csv,integer,unitless or field-specific,required,False,Records not applicable as serialized in the named v12 table.,0,v12.1
records_unpopulated,Supplementary_Data_S9_api_access_audit.csv,integer,unitless or field-specific,required,False,Records unpopulated as serialized in the named v12 table.,0,v12.1
reduced_release_record_expected,Supplementary_Data_S7_source_simulation_replica_provenance.csv,boolean,unitless or field-specific,required,False,Reduced release record expected as serialized in the named v12 table.,True,v12.1
release_replica,Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S8_reduced_release_qc.csv,integer,unitless or field-specific,required,False,"Reduced-release record number corresponding to source replica 1, 2 or 3.",1,v12.1
release_status,Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,required,False,Release status as serialized in the named v12 table.,unresolved,v12.1
remote_state,Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,required,False,State returned by the authenticated read-only Zenodo deposition endpoint.,unsubmitted,v12.1
repair_evidence,Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,conditional,True,Repair evidence as serialized in the named v12 table.,trajectory_readiness/continuations/Gq_8ZPT/interface_recovery/exhaustive_audit_corrected/candidate_replica_audit.csv,v12.1
repair_status,Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,required,False,Repair status as serialized in the named v12 table.,not_required,v12.1
repaired_reduced_source_duration_ns,Supplementary_Data_S7_source_simulation_replica_provenance.csv,number,ns,required,False,Repaired reduced source duration ns as serialized in the named v12 table.,500.0,v12.1
replica_1,Supplementary_Data_S6_gateway_per_system.csv,number,unitless or field-specific,required,False,Replica 1 as serialized in the named v12 table.,6.06,v12.1
replica_2,Supplementary_Data_S6_gateway_per_system.csv,number,unitless or field-specific,required,False,Replica 2 as serialized in the named v12 table.,5.725,v12.1
replica_3,Supplementary_Data_S6_gateway_per_system.csv,number,unitless or field-specific,required,False,Replica 3 as serialized in the named v12 table.,6.12,v12.1
replica_id,Supplementary_Data_S7_source_simulation_replica_provenance.csv,integer,unitless or field-specific,required,False,Computational repeat number within a system.,1,v12.1
replica_seed_evidence,Supplementary_Data_S7_source_simulation_replica_provenance.csv,string,unitless or field-specific,required,False,Replica seed evidence as serialized in the named v12 table.,distinct_wallclock_seeds,v12.1
repository_relative_path,Supplementary_Data_S10_code_environment_inventory.csv,string,unitless or field-specific,conditional,True,Repository relative path as serialized in the named v12 table.,manuscript_figures/scidata_figures/build_v12_data.py,v12.1
represented_span_ns,Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S8_reduced_release_qc.csv,number,ns,conditional,True,Elapsed time between first and last retained frame in nanoseconds.,499.8,v12.1
reproducibility_note,Supplementary_Data_S6_gateway_per_system.csv,string,unitless or field-specific,required,False,Reproducibility note as serialized in the named v12 table.,processed full-system summary; cannot be recalculated from reduced XTC,v12.1
rerun_status,Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,conditional,True,Rerun status as serialized in the named v12 table.,HOLD,v12.1
reserved_doi,Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,required,False,Zenodo DOI reserved for a private draft; not evidence of public release.,10.5281/zenodo.21395292,v12.1
sampling_claim_scope,Supplementary_Data_S1_included_system_inventory.csv,string,unitless or field-specific,required,False,Sampling claim scope as serialized in the named v12 table.,nominal protocol values; original file-observed total reported separately,v12.1
schema_location,Supplementary_Data_S9_api_access_audit.csv,string,unitless or field-specific,required,False,Schema location as serialized in the named v12 table.,https://www.coupledmd.cn/api/openapi.json,v12.1
schema_version,Supplementary_Data_S5_pocket_summaries_gpcrdb.csv|Supplementary_Data_S6_gateway_per_system.csv|Supplementary_Data_S9_api_access_audit.csv,string,unitless or field-specific,required,False,Schema version as serialized in the named v12 table.,1.0,v12.1
scope_note,Supplementary_Data_S9_api_access_audit.csv,string,unitless or field-specific,required,False,Scope note as serialized in the named v12 table.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,v12.1
sha256,Supplementary_Data_S10_code_environment_inventory.csv|Supplementary_Data_S4_reduced_release_manifest.csv,string,hexadecimal digest,conditional,True,SHA-256 checksum of the named file.,4f8a47b2bda9cc271c84f790afded96d387b1991236728a338f4eaab6c7b6ec5,v12.1
size_bytes,Supplementary_Data_S10_code_environment_inventory.csv|Supplementary_Data_S4_reduced_release_manifest.csv,number,byte,conditional,True,File size in bytes.,1146150.0,v12.1
source_trajectory_write_interval_ps,Supplementary_Data_S7_source_simulation_replica_provenance.csv,number,ps,required,False,Source trajectory write interval ps as serialized in the named v12 table.,50.0,v12.1
structural_provenance,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv,string,unitless or field-specific,conditional,True,Structural provenance as serialized in the named v12 table.,experimental,v12.1
system_id,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv|Supplementary_Data_S4_reduced_release_manifest.csv|Supplementary_Data_S5_pocket_summaries_gpcrdb.csv|Supplementary_Data_S6_gateway_per_system.csv|Supplementary_Data_S7_source_simulation_replica_provenance.csv|Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,required,False,Stable release identifier combining family prefix and source PDB identifier.,G12_7SF7,v12.1
topo_exists,Supplementary_Data_S1_included_system_inventory.csv,boolean,unitless or field-specific,required,False,Topo exists as serialized in the named v12 table.,True,v12.1
topo_sha256,Supplementary_Data_S1_included_system_inventory.csv,number,hexadecimal digest,conditional,True,Topo sha256 as serialized in the named v12 table.,,v12.1
total_sampling_ns,Supplementary_Data_S1_included_system_inventory.csv|Supplementary_Data_S2_release_boundary_exceptions.csv,number,ns,conditional,True,Total sampling ns as serialized in the named v12 table.,1500.0,v12.1
total_size_bytes,Supplementary_Data_S9_api_access_audit.csv,integer,byte,required,False,Total size bytes as serialized in the named v12 table.,285941043,v12.1
traj_exists,Supplementary_Data_S1_included_system_inventory.csv,boolean,unitless or field-specific,required,False,Traj exists as serialized in the named v12 table.,True,v12.1
traj_sha256,Supplementary_Data_S1_included_system_inventory.csv,number,hexadecimal digest,conditional,True,Traj sha256 as serialized in the named v12 table.,,v12.1
trajectory_type,Supplementary_Data_S1_included_system_inventory.csv,string,unitless or field-specific,required,False,Trajectory type as serialized in the named v12 table.,membrane_embedded,v12.1
unit,Supplementary_Data_S6_gateway_per_system.csv,string,unitless or field-specific,required,False,Unit as serialized in the named v12 table.,lipid_heavy_atoms_per_frame,v12.1
valid_periodic_box,Supplementary_Data_S8_reduced_release_qc.csv,string,unitless or field-specific,conditional,True,Valid periodic box as serialized in the named v12 table.,True,v12.1
version,Supplementary_Data_S10_code_environment_inventory.csv,string,unitless or field-specific,conditional,True,Version as serialized in the named v12 table.,3.12.3,v12.1
version_authority,Supplementary_Data_S10_code_environment_inventory.csv,string,unitless or field-specific,required,False,Version authority as serialized in the named v12 table.,repository file content,v12.1
zone_public_label,Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,string,unitless or field-specific,conditional,True,Zone public label as serialized in the named v12 table.,intracellular/transducer interface,v12.1
