claim_id,manuscript_section,claim,authoritative_evidence,evidence_selector,verification_method,status,release_dependent,claim_owner,overlap_risk,notes
C001,Background & Summary,The final cohort contains 207 systems.,data/release_cohort_v9_final207.csv,row count and unique system_id,automated or asserted machine-readable join,PASS,False,database,none,
C002,Background & Summary,The cohort contains 181 Class A and 26 Class B systems.,data/release_cohort_v9_final207.csv,gpcr_class value counts,automated or asserted machine-readable join,PASS,False,database,none,
C003,Background & Summary,"Family counts are 95 Gi/o, 65 Gs, 41 Gq/11 and 6 G12/13.",data/release_cohort_v9_final207.csv,g_protein_family value counts,automated or asserted machine-readable join,PASS,False,database,none,
C004,Background & Summary,The cohort contains 174 receptor names and 173 mapped UniProt accessions.,data/release_cohort_v9_final207.csv,distinct receptor_name and non-null receptor_uniprot,automated or asserted machine-readable join,PASS,False,database,none,
C005,Background & Summary,Gs_8HTI has an explicit null receptor accession.,data/release_cohort_v9_final207.csv,system_id=Gs_8HTI,automated or asserted machine-readable join,PASS,False,database,none,
C006,Cohort construction,"The working inventory is 207 included, 13 unresolved and two excluded.",CoupledMD_Supplementary_Data_v12/Supplementary_Data_S1_included_system_inventory.csv|CoupledMD_Supplementary_Data_v12/Supplementary_Data_S2_release_boundary_exceptions.csv,207 rows; release_status counts 13/2,automated or asserted machine-readable join,PASS,False,database,none,
C007,Cohort construction,Gq_7DWC was removed from the former 208-system cohort as a duplicate source identity of Gq_8DWC.,read_only_overlap/release_exclusions_v1.csv,system_id=Gq_7DWC,automated or asserted machine-readable join,PASS,False,database,none,
C008,Cohort construction,Gq_7E9W is an excluded duplicate or mislabel.,CoupledMD_Supplementary_Data_v12/Supplementary_Data_S2_release_boundary_exceptions.csv,system_id=Gq_7E9W,automated or asserted machine-readable join,PASS,False,database,none,
C009,Methods,Structural provenance is 197 experimental and 10 engineered_uncertain.,data/release_cohort_v9_final207.csv,structural_provenance value counts,automated or asserted machine-readable join,PASS,False,database,none,
C010,Production protocols,"Protocol counts are P1=179, P2=26 and P3=2.",manuscript_figures/scidata_figures/parallel_codex/provenance_direct/protocol_system_evidence.csv,filter final cohort then protocol_group value counts,automated or asserted machine-readable join,PASS,False,database,none,
C011,Production protocols,The source evidence assigns 205 systems to AMBER and two to GROMACS.,manuscript_figures/scidata_figures/parallel_codex/provenance_direct/protocol_system_evidence.csv,filter final cohort then engine_family,automated or asserted machine-readable join,PASS,False,database,none,
C012,Production protocols,Protocol evidence is verified for 202 systems and partial for five.,manuscript_figures/scidata_figures/parallel_codex/provenance_direct/protocol_system_evidence.csv,filter final cohort then status,automated or asserted machine-readable join,PASS,False,database,none,
C013,Sampling,The production design comprises 621 computational repeats.,CoupledMD_Supplementary_Data_v12/Supplementary_Data_S7_source_simulation_replica_provenance.csv,207 systems x 3 replica_id,automated or asserted machine-readable join,PASS,False,database,none,
C014,Sampling,Nominal protocol sampling is 310.5 microseconds.,CoupledMD_Supplementary_Data_v12/Supplementary_Data_S7_source_simulation_replica_provenance.csv,sum nominal_duration_ns,automated or asserted machine-readable join,PASS,False,database,none,
C015,Sampling,Original file-observed coordinate sampling is 310.4168 microseconds.,read_only_overlap/cohort_truth_v1.csv,sum observed NetCDF/GROMACS sampling for included systems,automated or asserted machine-readable join,PASS,False,database,none,
C016,Sampling,The original Gq_8ZPT replica 2 record contains 416.8 ns.,read_only_overlap/cohort_truth_v1.csv,system_id=Gq_8ZPT observed total,automated or asserted machine-readable join,PASS,False,database,none,
C017,Sampling,"The repaired reduced source for Gq_8ZPT replica 2 has 10,000 frames, 499.95 ns and verdict GOOD.",manuscript_figures/scidata_figures/trajectory_readiness/continuations/Gq_8ZPT/interface_recovery/exhaustive_audit_corrected/candidate_replica_audit.csv,only row,automated or asserted machine-readable join,PASS,False,database,none,
C018,Reduced records,Each complete reduced release record has 207 PDB/XTC pairs.,CoupledMD_Supplementary_Data_v12/Supplementary_Data_S4_reduced_release_manifest.csv,per release_replica present system and role counts,automated or asserted machine-readable join,HOLD,True,database,none,Refresh after release worker completion.
C019,Reduced records,"Each released XTC contains 2,500 frames at 200-ps spacing and spans 499.8 ns.",CoupledMD_Supplementary_Data_v12/Supplementary_Data_S4_reduced_release_manifest.csv,"n_frames, frame_interval_ps, represented_span_ns",automated or asserted machine-readable join,HOLD,True,database,none,Refresh after release worker completion.
C020,Reduced records,"The release excludes membrane, solvent and mobile ions.",manuscript_figures/scidata_figures/zenodo_reduced_release_207_replica3/README.txt,component-scope statement,automated or asserted machine-readable join,PASS,False,database,none,
C021,Reduced records,The reduced release is not a full-system archive.,manuscript_figures/scidata_figures/zenodo_reduced_release_207_replica3/README.txt,underlying full-system trajectories not included,automated or asserted machine-readable join,PASS,False,database,none,
C022,Pocket validation,Persistent pockets were detected in 205 systems and two systems have explicit zero-pocket records.,CoupledMD_Supplementary_Data_v12/Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,pocket_record_status by unique system_id,automated or asserted machine-readable join,PASS,False,database,none,
C023,Pocket validation,"There are 2,149 detected-pocket rows.",CoupledMD_Supplementary_Data_v12/Supplementary_Data_S5_pocket_summaries_gpcrdb.csv,available_detected_pocket row count,automated or asserted machine-readable join,PASS,False,database,none,
C024,Pocket validation,Orthosteric recovery is 49 of 58 eligible systems.,v12_figure_source_data/Figure_3A_positive_control.csv,row count and ortho_recovered sum,automated or asserted machine-readable join,PASS,False,database,none,
C025,Gateway records,"The gateway intermediate contains 5,796 rows: 207 systems x 7 interfaces x 4 metrics.",CoupledMD_Supplementary_Data_v12/Supplementary_Data_S6_gateway_per_system.csv,dimension counts,automated or asserted machine-readable join,PASS,False,shared-input,controlled,
C026,Gateway records,Gateway values cannot be recalculated from the reduced XTC files.,v12_figure_source_data/Figure_2_record_roles.csv,reduced trajectory does_not_support field,automated or asserted machine-readable join,PASS,False,database,none,
C027,API,The active gateway consensus ALL denominator is 207.,data/api/v1/consensus/gateways.json,ALL n_systems unique value,automated or asserted machine-readable join,PASS,False,database,none,
C028,Structural validation,Structural metrics are available for 618 of 621 replica records from 206 systems.,v12_figure_source_data/Figure_4A_replica_validation.csv,validation_status counts and unique systems,automated or asserted machine-readable join,PASS,False,database,none,
C029,Structural validation,The three unavailable records are the Gs_8HTI repeats.,v12_figure_source_data/Figure_4A_replica_validation.csv,validation_status != available,automated or asserted machine-readable join,PASS,False,database,none,
C030,Reduced-record audit,The exact final-207 sampled audit has 207 of 207 records classified OK.,final207_reduced_visualization_audit_40frames.csv,status counts,automated or asserted machine-readable join,PASS,False,database,none,
C031,Reduced-record audit,"Portal-record frame counts are 203x2500, 2x2501, 1x681 and 1x200.",final207_reduced_visualization_audit_40frames.csv,n_frames value counts,automated or asserted machine-readable join,PASS,False,database,none,
C032,Release integrity,Replica 1 local manifest and full-frame QC are complete.,reports/v12_remote_release_verification.json,records.1.local_evidence,automated or asserted machine-readable join,PASS,True,database,none,Refresh after release worker completion.
C033,Release integrity,Replica 2 remains release-dependent.,reports/v12_remote_release_verification.json,records.2,automated or asserted machine-readable join,HOLD,True,database,none,Refresh after release worker completion.
C034,Release integrity,Replica 3 local manifest and full-frame QC are complete.,reports/v12_remote_release_verification.json,records.3.local_evidence,automated or asserted machine-readable join,PASS,True,database,none,Refresh after release worker completion.
C035,Data Availability,All three Zenodo identifiers are restricted unsubmitted drafts at the audit time.,reports/v12_remote_release_verification.json,records.*.authenticated_remote,automated or asserted machine-readable join,HOLD,True,database,none,Refresh after release worker completion.
C036,Data Availability,None of the three DOI URLs resolves publicly at the audit time.,reports/v12_remote_release_verification.json,records.*.public_resolution,automated or asserted machine-readable join,HOLD,True,database,none,Refresh after release worker completion.
C037,Data Availability,Anonymous reviewer access has not been machine verified.,reports/v12_remote_release_verification.json,coordination file unavailable; no verified reviewer URL,automated or asserted machine-readable join,HOLD,True,database,none,Refresh after release worker completion.
C038,Code Availability,The web/code repository is the coupledmd GitHub repository.,reports/v12_repository_access_verification.json|CITATION.cff,public repository and repository-code,automated or asserted machine-readable join,PASS,False,database,none,
C039,Code Availability,The paper-content repository is the coupledmd_database GitHub repository.,reports/v12_repository_access_verification.json|CITATION.cff,public repository and repository-artifact,automated or asserted machine-readable join,PASS,False,database,none,
C040,Licensing,Data are CC BY 4.0 and code is MIT licensed.,LICENSE|LICENSE-CODE,licence text,automated or asserted machine-readable join,PASS,False,database,none,
C041,References,All 21 DOI/title pairs resolve through Crossref.,reports/v12_reference_doi_audit.json,status=PASS,automated or asserted machine-readable join,PASS,False,database,none,
C042,Related manuscripts,"Pocket recurrence, biological gateway patterns and selectivity are excluded from the database-paper claim set.",reports/v12_database_resource_claim_firewall.md,ownership matrix,automated or asserted machine-readable join,PASS,False,resource,controlled,
C043,Related manuscripts,"AI models, predictions and BRET are absent from the descriptor.",v12_manuscript.md,prohibited-term validation,automated or asserted machine-readable join,PASS,False,AI,controlled,
