release_status,system_id,pdb_id,receptor_name,receptor_uniprot,gpcr_class,g_protein_family,g_alpha_subtype,n_replicas,length_per_replica_ns,total_sampling_ns,structural_provenance,hold_reason,rerun_status,readiness_action,evidence_group,evidence_source,baseline_replica_statuses,notes
unresolved,G12_8H8J,8H8J,G-protein coupled receptor 35,Q9HC97,A,G12-13,Guanine nucleotide-binding protein subunit alpha-1,3,500.0,1500.0,experimental,HOLD_PBC,HOLD,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,rep1=HOLD | rep2=HOLD | rep3=HOLD,12 temp/incomplete files (#-prefixed) present; API receptor_name='G-protein coupled receptor 35' differs from existing; TRR with vel+forces: prod1_now.trr
unresolved,Gi_7JVR,7JVR,D(2) dopamine receptor,P14416,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,REVIEW_DISSOCIATION,REVIEW,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,rep1=READY | rep2=REVIEW | rep3=READY,1 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
unresolved,Gi_7V68,7V68,Muscarinic acetylcholine receptor M4,P08173,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,REVIEW_DISSOCIATION,REVIEW,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,rep1=REVIEW | rep2=REVIEW | rep3=REVIEW,nan; TRR with vel+forces: prod1_now.trr
unresolved,Gi_7VUG,7VUG,Probable G-protein coupled receptor 139,Q6DWJ6,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,exact nojump repair still has 4.02-A max RMSD step and 1015 >1-A jumps,HOLD,CONFIRMED_REPAIR_FAILURE,exact_claude_repair_failure,trajectory_readiness/claude_nojump_fullres_stage2/job_Gi_7VUG_rep2/trr_rebuild_summary.csv,rep1=READY | rep2=REVIEW | rep3=READY,4 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
unresolved,Gi_8J22,8J22,Free fatty acid receptor 2,O15552,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,HOLD_PBC; REVIEW_DISSOCIATION,HOLD,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,rep1=REVIEW | rep2=HOLD | rep3=REVIEW,nan; TRR with vel+forces: prod1_now.trr
unresolved,Gi_8X16,8X16,Adenosine receptor A3,P0DMS8,A,Gi,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,REVIEW_DISSOCIATION,REVIEW,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,rep1=REVIEW | rep2=REVIEW | rep3=REVIEW,3 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
unresolved,Gq_7F9Z,7F9Z,Growth hormone secretagogue receptor type 1,Q92847,A,Gq,Gαq,3,500.0,1500.0,experimental,HOLD_PBC,HOLD,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,rep1=HOLD | rep2=HOLD | rep3=HOLD,
unresolved,Gq_7RYC,7RYC,Oxytocin receptor,P30559,A,Gq,Guanine nucleotide-binding protein G(I)/G(S)/G(O) ,3,500.0,1500.0,experimental,raw span -2925.0 ps; aligned span -2925.0 ps; HOLD_INCOMPLETE,HOLD,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,rep1=SHORT_OR_BROKEN | rep2=SHORT_OR_BROKEN | rep3=SHORT_OR_BROKEN,
unresolved,Gq_7XJL,7XJL,Galanin receptor type 2,O43603,A,Gq,Guanine nucleotide-binding protein G(q) subunit al,3,500.0,1500.0,experimental,exact repair still has 24.39-A RMSD jump and >1-A jumps,HOLD,CONFIRMED_REPAIR_FAILURE,exact_claude_repair_failure,trajectory_readiness/claude_fullres_repair_stage2/Gq_7XJL/rep2_repair_summary.json,rep1=REVIEW | rep2=REVIEW | rep3=REVIEW,
unresolved,Gq_8DPF,8DPF,5-hydroxytryptamine receptor 2C,P28335,A,Gq,Gαi2,3,500.0,1500.0,experimental,HOLD_PBC,HOLD,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,rep1=READY | rep2=READY | rep3=HOLD,3 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
unresolved,Gs_7VUH,7VUH,Probable G-protein coupled receptor 139,Q6DWJ6,A,Gs,Isoform Gnas-2 of Guanine nucleotide-binding prote,3,500.0,1500.0,experimental,exact nojump repair still has 2.84-A max RMSD step and 1016 >1-A jumps,HOLD,CONFIRMED_REPAIR_FAILURE,exact_claude_repair_failure,trajectory_readiness/claude_nojump_fullres_stage2/job_Gs_7VUH_rep2/trr_rebuild_summary.csv,rep1=READY | rep2=READY | rep3=REVIEW,1 temp/incomplete files (#-prefixed) present; TRR with vel+forces: prod1_now.trr
unresolved,Gs_8GY7,8GY7,Adrenocorticotropic hormone receptor,Q01718,A,Gs,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,HOLD_PBC,HOLD,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,rep1=HOLD | rep2=HOLD | rep3=HOLD,
unresolved,Gs_8HNK,8HNK,C-X-C chemokine receptor type 3,P49682,A,Gs,Guanine nucleotide-binding protein G(i) subunit al,3,500.0,1500.0,experimental,HOLD_PBC,HOLD,BASELINE_RETAINED,strict_baseline,trajectory_readiness/strict_full_length_system_audit.csv,rep1=HOLD | rep2=HOLD | rep3=HOLD,
excluded,Gq_7E9W,7E9W,,,,,,,,,,non-GPCR duplicate/mislabel of Gq_8E9W,,,,release decision 2026-07-14,,
excluded,Gq_7DWC,7DWC,,,A,Gq,,,,,,"duplicate source identity of Gq_8DWC; deposited under a muscarinic M1 mislabel, verified as the same MRGPRX1-Gq system (Q96LB2)",,,,release decision 2026-07-17,,"identical reduced-PDB sequences (13,944 atoms / 877 residues); N-terminal motif matches MRGPRX1"
