field,entity_level,type,unit,requiredness,nullable,allowed_vocabulary,definition,example,provenance_authority,schema_version
affected_system_ids,portal/API record-type coverage summary,string,unitless_or_not_applicable,conditional,True,,Semicolon-delimited systems not counted as available.,,release-scoped portal/API content audit,1.0
allowed_vocabulary,dictionary field,string,unitless_or_not_applicable,required,False,,Pipe-delimited controlled values when a closed vocabulary applies.,allowed_vocabulary,generated package schema audit,1.0
archive_filename,released molecular file,string,unitless_or_not_applicable,required,False,,Name of the family-level ZIP archive containing the released file.,CoupledMD_reduced_trajectories_G12-13.zip,validated reduced molecular-release manifest,1.0
archive_member_path,released molecular file,string,unitless_or_not_applicable,required,False,,Relative path of the file inside its family-level ZIP archive.,G12_7SF7/structure.pdb,validated reduced molecular-release manifest,1.0
atom_order_backbone_geometry,released molecular pair QC record,string,unitless_or_not_applicable,required,False,passed,Result of the atom-order/backbone-geometry consistency check.,passed,validated reduced molecular-release manifest and full-frame QC audit,1.0
availability_semantics,portal/API record-type coverage summary,string,unitless_or_not_applicable,required,False,,Explicit rule used to count a current server record as available.,Available means a non-empty current portal structure file is present.,release-scoped portal/API content audit,1.0
baseline_replica_statuses,release-boundary system,string,unitless_or_not_applicable,conditional,True,,Concatenated human-readable baseline status summary for the three replicas.,rep1=HOLD | rep2=HOLD | rep3=HOLD,release-boundary decision and readiness evidence,1.0
catastrophic_chain_break_absent,released molecular pair QC record,boolean,unitless_or_not_applicable,required,False,,Whether full-frame geometry checks found no catastrophic chain break.,True,validated reduced molecular-release manifest and full-frame QC audit,1.0
ci_hi,system/interface/metric gateway record,number,metric-dependent,required,False,,Upper bound of the stored gateway interval.,6.12,per-system three-replica gateway records,1.0
ci_lo,system/interface/metric gateway record,number,metric-dependent,required,False,,Lower bound of the stored gateway interval.,5.725,per-system three-replica gateway records,1.0
complex_separation_absent,released molecular pair QC record,boolean,unitless_or_not_applicable,required,False,,Whether full-frame geometry checks found no catastrophic complex separation.,True,validated reduced molecular-release manifest and full-frame QC audit,1.0
component_scope,released molecular file / released molecular pair QC record,string,unitless_or_not_applicable,required,False,,Author-defined retained-component scope of the reduced molecular files.,proteins plus selected ligands retained during system preparation where applicable,validated reduced molecular-release manifest; validated reduced molecular-release manifest and full-frame QC audit,1.0
component_scope_authority,released molecular pair QC record,string,unitless_or_not_applicable,required,False,,Authority for the retained-component selection statement.,author-defined system preparation and release selection,validated reduced molecular-release manifest and full-frame QC audit,1.0
coordinate_scatter_absent,released molecular pair QC record,boolean,unitless_or_not_applicable,required,False,,Whether full-frame geometry checks found no catastrophic coordinate scatter.,True,validated reduced molecular-release manifest and full-frame QC audit,1.0
definition,dictionary field,string,unitless_or_not_applicable,required,False,,Reader-facing semantic definition of the serialized field.,definition,generated package schema audit,1.0
distribution_status,source system/replica provenance record,string,unitless_or_not_applicable,required,False,source_full_system_trajectory_not_distributed,Whether the source full-system trajectory is distributed as a molecular file.,source_full_system_trajectory_not_distributed,source simulation campaign and release-selection rule,1.0
duration_ns,source system/replica provenance record,integer,ns,required,False,,Selected production duration represented by the replica row.,500,source simulation campaign and release-selection rule,1.0
engine_version_scope,source system/replica provenance record,string,unitless_or_not_applicable,required,False,single_version_in_available_records|mixed_across_available_records|not_recovered,"Whether available production outputs contain one version, multiple versions or no recovered version.",single_version_in_available_records,source simulation campaign and release-selection rule,1.0
engine_versions_from_job_scripts,source system/replica provenance record,integer,unitless_or_not_applicable,conditional,True,,Pipe-delimited engine versions recovered from retained job scripts; this is separate from output-derived evidence.,24,source simulation campaign and release-selection rule,1.0
engine_versions_from_production_outputs,source system/replica provenance record,string,unitless_or_not_applicable,conditional,True,,Pipe-delimited engine versions recovered directly from available production outputs for the system.,24,source simulation campaign and release-selection rule,1.0
entity_level,dictionary field,string,unitless_or_not_applicable,required,False,,Entity or record level at which the field is interpreted.,entity_level,generated package schema audit,1.0
evidence_group,release-boundary system,string,unitless_or_not_applicable,conditional,True,,Readiness-evidence grouping used to support the record.,strict_baseline,release-boundary decision and readiness evidence,1.0
evidence_source,release-boundary system,string,unitless_or_not_applicable,required,False,,Repository-relative pointer to the supporting readiness evidence.,trajectory_readiness/strict_full_length_system_audit.csv,release-boundary decision and readiness evidence,1.0
example,dictionary field,string,unitless_or_not_applicable,required,False,,Example non-null serialized value from the generated package.,example,generated package schema audit,1.0
excluded_components,released molecular pair QC record,string,unitless_or_not_applicable,required,False,,Semicolon-delimited components excluded from the reduced molecular files.,membrane;solvent;ions;ligands intentionally removed during system preparation,validated reduced molecular-release manifest and full-frame QC audit,1.0
exists,code or build-environment inventory item,boolean,unitless_or_not_applicable,required,False,,Whether the file exists or the current build dependency is importable.,True,repository and package-build environment inventory,1.0
expected_systems,portal/API record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of included systems to which the portal/API record type applies.,208,release-scoped portal/API content audit,1.0
field,dictionary field,string,unitless_or_not_applicable,required,False,,Exact serialized CSV field name described by this dictionary row.,field,generated package schema audit,1.0
file_role,released molecular file,string,unitless_or_not_applicable,required,False,structure_pdb|trajectory_xtc,Role of the released molecular file.,structure_pdb,validated reduced molecular-release manifest,1.0
files_present,portal/API record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of non-empty current server files present for the record type.,208,release-scoped portal/API content audit,1.0
finite_coordinates,released molecular pair QC record,boolean,unitless_or_not_applicable,required,False,,Whether every checked coordinate is finite across all released trajectory frames.,True,validated reduced molecular-release manifest and full-frame QC audit,1.0
finite_monotonic_time,released molecular pair QC record,boolean,unitless_or_not_applicable,required,False,,Whether released trajectory times are finite and strictly monotonic.,True,validated reduced molecular-release manifest and full-frame QC audit,1.0
force_field,included system,string,unitless_or_not_applicable,required,False,,Force-field/protocol label recorded in included-system metadata; not an exact engine-version claim.,CHARMM36 (via AMBER CHARMM-GUI),curated included-system inventory,1.0
frame_count,released molecular pair QC record,integer,count,required,False,,Number of frames checked in the released reduced XTC.,2500,validated reduced molecular-release manifest and full-frame QC audit,1.0
frame_interval_ps,released molecular file / released molecular pair QC record,integer,ps,conditional,True,,Nominal interval between consecutive reduced trajectory frames.,200.000,validated reduced molecular-release manifest; validated reduced molecular-release manifest and full-frame QC audit,1.0
full_frame_qc_status,released molecular pair QC record,string,unitless_or_not_applicable,required,False,passed,Aggregate status of the serialized full-frame reduced-release checks.,passed,validated reduced molecular-release manifest and full-frame QC audit,1.0
full_frames_checked,released molecular pair QC record,integer,count,required,False,,Number of released trajectory frames included in full-frame QC.,2500,validated reduced molecular-release manifest and full-frame QC audit,1.0
g_alpha_subtype,included system / release-boundary system,string,unitless_or_not_applicable,conditional,True,,Source metadata label for the G-alpha subtype or construct.,guanine nucleotide-binding protein g(i)/g(s)/g(t),curated included-system inventory; release-boundary decision and readiness evidence,1.0
g_protein_family,included system / release-boundary system / released molecular file / pocket or explicit zero-pocket system record / system/interface/metric gateway record / released molecular pair QC record,string,unitless_or_not_applicable,conditional,True,Gi|Gs|Gq|G12-13,Release G-protein family.,G12-13,curated included-system inventory; release-boundary decision and readiness evidence; validated reduced molecular-release manifest; per-system mapped-pocket records; per-system three-replica gateway records; validated reduced molecular-release manifest and full-frame QC audit,1.0
gpcr_class,included system / release-boundary system,string,unitless_or_not_applicable,conditional,True,A|B,Release GPCR class.,B,curated included-system inventory; release-boundary decision and readiness evidence,1.0
has_bilayer,included system,boolean,unitless_or_not_applicable,required,False,,Whether the source system metadata records a membrane bilayer.,True,curated included-system inventory,1.0
hold_reason,release-boundary system,string,unitless_or_not_applicable,required,False,,Recorded reason the system is unresolved or excluded.,HOLD_PBC,release-boundary decision and readiness evidence,1.0
interface,system/interface/metric gateway record,string,unitless_or_not_applicable,required,False,TM1-TM2|TM2-TM3|TM3-TM4|TM4-TM5|TM5-TM6|TM6-TM7|TM7-TM1,Adjacent TM-helix pair defining a gateway.,TM1-TM2,per-system three-replica gateway records,1.0
is_orthosteric,pocket or explicit zero-pocket system record,boolean,unitless_or_not_applicable,conditional,True,,Whether the pocket cluster was annotated as orthosteric by the deposited computational workflow.,False,per-system mapped-pocket records,1.0
item_id,code or build-environment inventory item,string,unitless_or_not_applicable,required,False,,Stable row identifier within the code/build-environment inventory.,code_01,repository and package-build environment inventory,1.0
item_kind,code or build-environment inventory item,string,unitless_or_not_applicable,required,False,code_file|environment_file|build_dependency,"Distinguishes code files, environment files and current build dependencies.",code_file,repository and package-build environment inventory,1.0
language,code or build-environment inventory item,string,unitless_or_not_applicable,required,False,,"Implementation language, file format or dependency name.",Python,repository and package-build environment inventory,1.0
language_version,code or build-environment inventory item,string,unitless_or_not_applicable,conditional,True,,Available language/runtime version for the current build environment.,3.12.3,repository and package-build environment inventory,1.0
length_per_replica_ns,included system / release-boundary system,integer,ns,conditional,True,,Selected production duration per replica.,500.0,curated included-system inventory; release-boundary decision and readiness evidence,1.0
ligand_chem_id,included system,string,unitless_or_not_applicable,conditional,True,,Ligand chemical-component identifier from authoritative system metadata; empty when unavailable.,S1P,curated included-system inventory,1.0
ligand_class,included system,string,unitless_or_not_applicable,conditional,True,,Ligand-class annotation; currently empty because no authoritative source value is available.,,curated included-system inventory,1.0
ligand_name,included system,string,unitless_or_not_applicable,conditional,True,,Ligand name present in systems_master or the per-system API index; empty when unavailable.,"(2S,3R,4E)-2-amino-3-hydroxyoctadec-4-en-1-yl dihydrogen phosphate",curated included-system inventory,1.0
lipid_composition,included system,string,unitless_or_not_applicable,required,False,,Membrane lipid-composition label in included-system metadata.,POPC,curated included-system inventory,1.0
location,pocket or explicit zero-pocket system record,string,unitless_or_not_applicable,conditional,True,,Component/location label stored in the pocket API record.,g_protein,per-system mapped-pocket records,1.0
mean,system/interface/metric gateway record,number,metric-dependent,required,False,,Mean of the three replica-level gateway summaries.,5.968,per-system three-replica gateway records,1.0
mean_freq,pocket or explicit zero-pocket system record,number,fraction,conditional,True,,Mean occupied-frame fraction across voxels in the pocket cluster.,0.929,per-system mapped-pocket records,1.0
metric,system/interface/metric gateway record,string,unitless_or_not_applicable,required,False,penetration|penetration_p90|open_fraction|occupancy,Gateway metric represented by the row.,occupancy,per-system three-replica gateway records,1.0
n_atoms,released molecular file / released molecular pair QC record,integer,count,required,False,,Number of atoms shared by the matched PDB/XTC pair.,14148,validated reduced molecular-release manifest; validated reduced molecular-release manifest and full-frame QC audit,1.0
n_frames,released molecular file,integer,count,required,False,,Number of coordinate records in the released file; one for the reference PDB.,1,validated reduced molecular-release manifest,1.0
n_replicas,included system / release-boundary system / system/interface/metric gateway record,integer,unitless_or_not_applicable,conditional,True,,Number of selected production replicas represented by the record.,3,curated included-system inventory; release-boundary decision and readiness evidence; per-system three-replica gateway records,1.0
n_voxels,pocket or explicit zero-pocket system record,integer,unitless_or_not_applicable,conditional,True,,Number of grid voxels in the detected pocket cluster.,633,per-system mapped-pocket records,1.0
notes,included system / release-boundary system,string,unitless_or_not_applicable,conditional,True,,Curated release or source-metadata note.,nan; API receptor_name='Sphingosine 1-phosphate receptor 2' differs from existing,curated included-system inventory; release-boundary decision and readiness evidence,1.0
nullable,dictionary field,string,unitless_or_not_applicable,required,False,,Whether an empty CSV value is permitted.,nullable,generated package schema audit,1.0
pdb_id,included system / release-boundary system / released molecular file,string,unitless_or_not_applicable,required,False,,Source-structure identifier recorded for the release system.,7SF7,curated included-system inventory; release-boundary decision and readiness evidence; validated reduced molecular-release manifest,1.0
pdb_sha256,released molecular pair QC record,sha256_hex_string,unitless_or_not_applicable,required,False,,SHA-256 checksum of the released reference PDB.,4f8a47b2bda9cc271c84f790afded96d387b1991236728a338f4eaab6c7b6ec5,validated reduced molecular-release manifest and full-frame QC audit,1.0
pdb_xtc_atom_counts_match,released molecular pair QC record,boolean,unitless_or_not_applicable,required,False,,Whether the matched reference PDB and reduced XTC contain the same number of atoms.,True,validated reduced molecular-release manifest and full-frame QC audit,1.0
pocket_id,pocket or explicit zero-pocket system record,integer,unitless_or_not_applicable,conditional,True,,Pocket identifier within a system; empty only for an explicit zero-pocket system row.,0,per-system mapped-pocket records,1.0
pocket_record_reason,pocket or explicit zero-pocket system record,string,unitless_or_not_applicable,conditional,True,,Explanation for the pocket-record status when needed.,valid API pocket record with n_pockets=0 and an empty pockets array,per-system mapped-pocket records,1.0
pocket_record_status,pocket or explicit zero-pocket system record,string,unitless_or_not_applicable,required,False,available_detected_pocket|available_zero_pockets,Distinguishes a detected-pocket row from a valid zero-pocket system record.,available_detected_pocket,per-system mapped-pocket records,1.0
production_engine,source system/replica provenance record,string,unitless_or_not_applicable,required,False,AMBER PMEMD|GROMACS,Molecular-dynamics engine family recovered for the source production run.,AMBER PMEMD,source simulation campaign and release-selection rule,1.0
production_logs_expected_n,source system/replica provenance record,integer,unitless_or_not_applicable,required,False,,Expected number of production-output logs for the three-replica source campaign.,3,source simulation campaign and release-selection rule,1.0
production_logs_recovered_n,source system/replica provenance record,integer,unitless_or_not_applicable,required,False,,Number of production-output logs recovered for the system during provenance audit.,3,source simulation campaign and release-selection rule,1.0
protocol_evidence_gap,source system/replica provenance record,string,unitless_or_not_applicable,conditional,True,,Machine-readable reason for incomplete retained production-protocol evidence.,fewer_than_three_production_logs_recovered,source simulation campaign and release-selection rule,1.0
protocol_evidence_status,source system/replica provenance record,string,unitless_or_not_applicable,required,False,verified|partial,Completeness status of the retained system-level production-protocol evidence.,verified,source simulation campaign and release-selection rule,1.0
protocol_group,source system/replica provenance record,string,unitless_or_not_applicable,required,False,P1|P2|P3,Recorded production-workflow group used for the source simulation.,P2,source simulation campaign and release-selection rule,1.0
provenance_authority,dictionary field,string,unitless_or_not_applicable,required,False,,Source or computation authoritative for the field.,provenance_authority,generated package schema audit,1.0
provenance_scope,source system/replica provenance record,string,unitless_or_not_applicable,required,False,,Interpretation limit separating source-simulation provenance from deposited molecular-file records.,source-simulation provenance; this row is not a deposited molecular-file record or a claim of self-contained full-trajectory QC,source simulation campaign and release-selection rule,1.0
readiness_action,release-boundary system,string,unitless_or_not_applicable,conditional,True,,Action recorded by the readiness evidence overlay.,BASELINE_RETAINED,release-boundary decision and readiness evidence,1.0
receptor_gene,included system,string,unitless_or_not_applicable,conditional,True,,Mapped receptor gene symbol; nullable with the receptor accession.,ADGRL3,curated included-system inventory,1.0
receptor_generic_numbers,pocket or explicit zero-pocket system record,string,unitless_or_not_applicable,conditional,True,,Semicolon-delimited GPCRdb generic positions mapped to the pocket.,1.61x61;2.46x46;2.47x47;2.50x50;3.50x50;3.53x53;3.54x54;3.56x56;3.57x57;4.41x42;4.42x43;4.45x46;6.45x45;7.57x57;8.47x47,per-system mapped-pocket records,1.0
receptor_name,included system / release-boundary system / pocket or explicit zero-pocket system record,string,unitless_or_not_applicable,conditional,True,,Curated receptor name retained independently of accession mapping.,Adhesion G protein-coupled receptor L3,curated included-system inventory; release-boundary decision and readiness evidence; per-system mapped-pocket records,1.0
receptor_uniprot,included system / release-boundary system,string,unitless_or_not_applicable,conditional,True,,Mapped receptor UniProt accession; empty when no canonical mapping is available.,Q9HAR2,curated included-system inventory; release-boundary decision and readiness evidence,1.0
record_type,portal/API record-type coverage summary,string,unitless_or_not_applicable,required,False,,Record category; its vocabulary is defined by the containing Supplementary Data table.,viz_structure,release-scoped portal/API content audit,1.0
records_available,portal/API record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of records satisfying the stated current-content availability semantics.,208,release-scoped portal/API content audit,1.0
records_missing,portal/API record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of expected current server files missing or empty.,0,release-scoped portal/API content audit,1.0
records_not_applicable,portal/API record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of systems for which the record type is explicitly not applicable.,0,release-scoped portal/API content audit,1.0
records_unpopulated,portal/API record-type coverage summary,integer,unitless_or_not_applicable,required,False,,Number of present current server files failing content-population validation.,0,release-scoped portal/API content audit,1.0
relationship_to_reduced_release,source system/replica provenance record,string,unitless_or_not_applicable,required,False,source_for_reduced_molecular_release|analysis_source_not_distributed,Relationship between the source replica and the distributed reduced molecular files.,source_for_reduced_molecular_release,source simulation campaign and release-selection rule,1.0
release_action,released molecular pair QC record,string,unitless_or_not_applicable,required,False,,"Preparation action used to obtain the canonical 2,500-frame released trajectory.",canonical_preserved,validated reduced molecular-release manifest and full-frame QC audit,1.0
release_file_id,released molecular file,string,unitless_or_not_applicable,required,False,,Unique identifier for one released molecular file within a system.,G12_7SF7:structure_pdb,validated reduced molecular-release manifest,1.0
release_status,release-boundary system,string,unitless_or_not_applicable,required,False,unresolved|excluded,Release-boundary status for an unresolved or excluded record.,unresolved,release-boundary decision and readiness evidence,1.0
replica_1,system/interface/metric gateway record,number,metric-dependent,required,False,,Gateway summary for selected replica 1.,6.06,per-system three-replica gateway records,1.0
replica_2,system/interface/metric gateway record,number,metric-dependent,required,False,,Gateway summary for selected replica 2.,5.725,per-system three-replica gateway records,1.0
replica_3,system/interface/metric gateway record,number,metric-dependent,required,False,,Gateway summary for selected replica 3.,6.12,per-system three-replica gateway records,1.0
replica_id,source system/replica provenance record,integer,unitless_or_not_applicable,required,False,,Selected production-replica identifier within a system.,1,source simulation campaign and release-selection rule,1.0
replica_seed_evidence,source system/replica provenance record,string,unitless_or_not_applicable,required,False,,System-level scope of recovered random-seed evidence; it does not assert independent initial velocities.,three_distinct_wall_clock_seeds_recovered,source simulation campaign and release-selection rule,1.0
repository_relative_path,code or build-environment inventory item,string,unitless_or_not_applicable,conditional,True,,Path relative to the CoupledMD server repository; nullable for runtime dependency rows.,manuscript_figures/scidata_figures/prepare_supplementary_data.py,repository and package-build environment inventory,1.0
represented_span_ns,released molecular file / released molecular pair QC record,number,ns,conditional,True,,Elapsed source-simulation span represented from the first to last reduced trajectory frame.,499.800,validated reduced molecular-release manifest; validated reduced molecular-release manifest and full-frame QC audit,1.0
requiredness,dictionary field,string,unitless_or_not_applicable,required,False,,Whether every record requires a value or the field is conditional.,requiredness,generated package schema audit,1.0
rerun_status,release-boundary system,string,unitless_or_not_applicable,conditional,True,,Recorded rerun/recovery status for a release-boundary exception.,HOLD,release-boundary decision and readiness evidence,1.0
role,code or build-environment inventory item,string,unitless_or_not_applicable,required,False,,Role of the code or environment item in the current build/server.,Supplementary Data package builder and validator,repository and package-build environment inventory,1.0
schema_location,portal/API record-type coverage summary,string,unitless_or_not_applicable,required,False,,Location of the current API schema; not a DOI archive locator.,https://www.coupledmd.cn/api/openapi.json,release-scoped portal/API content audit,1.0
schema_version,dictionary field / released molecular file / pocket or explicit zero-pocket system record / system/interface/metric gateway record / source system/replica provenance record / released molecular pair QC record / portal/API record-type coverage summary / code or build-environment inventory item,string,unitless_or_not_applicable,required,False,,Schema identifier for the serialized record.,1.0,generated package schema audit; validated reduced molecular-release manifest; per-system mapped-pocket records; per-system three-replica gateway records; source simulation campaign and release-selection rule; validated reduced molecular-release manifest and full-frame QC audit; release-scoped portal/API content audit; repository and package-build environment inventory,1.0
scope_note,portal/API record-type coverage summary,string,unitless_or_not_applicable,required,False,,Interpretation limit separating current server coverage from archive deposition.,current included-cohort portal/API coverage; not deposited-archive or frozen-manifest coverage,release-scoped portal/API content audit,1.0
sha256,released molecular file / code or build-environment inventory item,sha256_hex_string,unitless_or_not_applicable,conditional,True,,SHA-256 of a repository file; not applicable to runtime dependency rows.,4f8a47b2bda9cc271c84f790afded96d387b1991236728a338f4eaab6c7b6ec5,validated reduced molecular-release manifest; repository and package-build environment inventory,1.0
size_bytes,released molecular file / code or build-environment inventory item,integer,byte,conditional,True,,Current byte size for a repository file; not applicable to runtime dependency rows.,1146150,validated reduced molecular-release manifest; repository and package-build environment inventory,1.0
software_version,code or build-environment inventory item,string,unitless_or_not_applicable,conditional,True,,Available package version in the current build environment.,1.26.4,repository and package-build environment inventory,1.0
source_replica,released molecular file / released molecular pair QC record,integer,unitless_or_not_applicable,required,False,1,Source production-replica number from which the reduced molecular file was derived.,1,validated reduced molecular-release manifest; validated reduced molecular-release manifest and full-frame QC audit,1.0
source_simulation_status,source system/replica provenance record,string,unitless_or_not_applicable,required,False,included_in_source_campaign,Status of the replica in the source simulation campaign.,included_in_source_campaign,source simulation campaign and release-selection rule,1.0
source_trajectory_write_interval_ps,source system/replica provenance record,integer,ps,required,False,,Coordinate-write interval recorded in available source-production evidence.,50.0,source simulation campaign and release-selection rule,1.0
structural_provenance,included system / release-boundary system,string,unitless_or_not_applicable,conditional,True,,Release label describing experimental or engineered structural provenance.,experimental,curated included-system inventory; release-boundary decision and readiness evidence,1.0
system_id,included system / release-boundary system / released molecular file / pocket or explicit zero-pocket system record / system/interface/metric gateway record / source system/replica provenance record / released molecular pair QC record,string,unitless_or_not_applicable,required,False,,Release system identifier combining G-protein-family prefix and source-structure identifier.,G12_7SF7,curated included-system inventory; release-boundary decision and readiness evidence; validated reduced molecular-release manifest; per-system mapped-pocket records; per-system three-replica gateway records; source simulation campaign and release-selection rule; validated reduced molecular-release manifest and full-frame QC audit,1.0
system_total_sampling_ns,source system/replica provenance record,integer,ns,required,False,,Total selected sampling for the replica's system.,1500,source simulation campaign and release-selection rule,1.0
topo_exists,included system,boolean,unitless_or_not_applicable,required,False,,Whether a topology source was present at the metadata audit.,True,curated included-system inventory,1.0
total_sampling_ns,included system / release-boundary system,integer,ns,conditional,True,,Total selected production sampling represented by the system or source record.,1500.0,curated included-system inventory; release-boundary decision and readiness evidence,1.0
total_size_bytes,portal/API record-type coverage summary,integer,byte,required,False,,Aggregate byte size of present current server files for the record type.,287070669,release-scoped portal/API content audit,1.0
traj_exists,included system,boolean,unitless_or_not_applicable,required,False,,Whether a trajectory source was present at the metadata audit.,True,curated included-system inventory,1.0
trajectory_type,included system,string,unitless_or_not_applicable,required,False,,Trajectory content/type label in included-system metadata.,membrane_embedded,curated included-system inventory,1.0
type,dictionary field,string,unitless_or_not_applicable,required,False,,Serialized logical data type.,type,generated package schema audit,1.0
unit,dictionary field / system/interface/metric gateway record,string,unitless_or_not_applicable,required,False,,"Measurement unit, or unitless/NA where applicable.",lipid_heavy_atoms_per_frame,generated package schema audit; per-system three-replica gateway records,1.0
valid_periodic_box,released molecular pair QC record,boolean,unitless_or_not_applicable,required,False,,Whether every checked released trajectory frame contains valid periodic-box dimensions.,True,validated reduced molecular-release manifest and full-frame QC audit,1.0
version_authority,code or build-environment inventory item,string,unitless_or_not_applicable,required,False,,How the reported current build version was obtained; never used as simulation-engine provenance.,sys.version in the package-build environment,repository and package-build environment inventory,1.0
xtc_sha256,released molecular pair QC record,sha256_hex_string,unitless_or_not_applicable,required,False,,SHA-256 checksum of the released reduced XTC.,9763422edfb3d07032901e1f45d577e6c02094925e2189614b71f5408a26ca0e,validated reduced molecular-release manifest and full-frame QC audit,1.0
zone_public_label,pocket or explicit zero-pocket system record,string,unitless_or_not_applicable,conditional,True,,Reader-facing anatomical-zone label derived from the stored pocket zone.,intracellular/transducer interface,per-system mapped-pocket records,1.0
